,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
35,AAPL200529P00275000,2020-05-27 3:24PM EDT,275.0,0.02,0.01,0.02,0.01,+100.00%,421,1728,58.59%
36,AAPL200529P00277500,2020-05-27 3:27PM EDT,277.5,0.02,0.02,0.03,0.0,-,199,584,58.59%
37,AAPL200529P00280000,2020-05-27 3:54PM EDT,280.0,0.03,0.02,0.03,0.0,-,546,3639,55.08%
38,AAPL200529P00282500,2020-05-27 3:37PM EDT,282.5,0.03,0.02,0.03,0.0,-,919,724,51.56%
39,AAPL200529P00285000,2020-05-27 3:59PM EDT,285.0,0.03,0.02,0.03,-0.02,-40.00%,1097,1878,49.22%
40,AAPL200529P00287500,2020-05-27 3:15PM EDT,287.5,0.05,0.01,0.04,-0.02,-28.57%,86,777,47.27%
41,AAPL200529P00290000,2020-05-27 3:59PM EDT,290.0,0.05,0.03,0.05,-0.04,-44.44%,1545,6102,44.92%
42,AAPL200529P00292500,2020-05-27 3:59PM EDT,292.5,0.06,0.05,0.07,-0.05,-45.45%,611,1702,43.36%
43,AAPL200529P00295000,2020-05-27 3:59PM EDT,295.0,0.08,0.07,0.08,-0.07,-46.67%,2381,5443,40.33%
44,AAPL200529P00297500,2020-05-27 3:59PM EDT,297.5,0.11,0.09,0.11,-0.11,-50.00%,2522,2582,38.28%
45,AAPL200529P00300000,2020-05-27 3:59PM EDT,300.0,0.14,0.13,0.14,-0.16,-53.33%,7131,11238,35.74%
46,AAPL200529P00302500,2020-05-27 3:58PM EDT,302.5,0.18,0.18,0.23,-0.25,-58.14%,4047,4025,34.77%
47,AAPL200529P00305000,2020-05-27 3:59PM EDT,305.0,0.27,0.25,0.28,-0.32,-54.24%,10456,7519,31.59%
48,AAPL200529P00307500,2020-05-27 3:59PM EDT,307.5,0.39,0.4,0.5,-0.49,-55.68%,6257,4266,31.25%
49,AAPL200529P00310000,2020-05-27 3:59PM EDT,310.0,0.62,0.62,0.69,-0.63,-50.40%,20822,12055,28.69%
50,AAPL200529P00312500,2020-05-27 3:59PM EDT,312.5,1.02,0.99,1.11,-0.94,-47.96%,11939,4361,27.64%
51,AAPL200529P00315000,2020-05-27 3:59PM EDT,315.0,1.57,1.57,1.65,-1.13,-41.85%,24242,8174,25.75%
52,AAPL200529P00317500,2020-05-27 3:59PM EDT,317.5,2.49,2.45,2.57,-1.26,-33.60%,11573,3750,24.93%
53,AAPL200529P00320000,2020-05-27 3:59PM EDT,320.0,3.8,3.7,3.8,-1.65,-30.28%,4197,6685,23.85%
54,AAPL200529P00322500,2020-05-27 3:59PM EDT,322.5,5.4,5.15,5.7,-1.6,-22.86%,417,1439,25.98%
55,AAPL200529P00325000,2020-05-27 3:59PM EDT,325.0,7.5,7.2,7.5,-1.75,-18.92%,863,1749,24.15%
56,AAPL200529P00327500,2020-05-27 3:54PM EDT,327.5,10.0,9.2,10.25,-1.3,-11.50%,77,483,33.18%
57,AAPL200529P00330000,2020-05-27 3:49PM EDT,330.0,12.6,11.8,12.7,-0.75,-5.62%,361,551,37.84%
58,AAPL200529P00332500,2020-05-27 11:09AM EDT,332.5,17.4,14.2,15.05,2.9,+20.00%,2,116,40.45%
59,AAPL200529P00335000,2020-05-27 11:49AM EDT,335.0,20.05,16.55,17.2,3.2,+18.99%,15,139,37.50%
60,AAPL200529P00340000,2020-05-27 11:46AM EDT,340.0,25.25,21.55,22.25,3.35,+15.30%,19,101,47.12%
61,AAPL200529P00345000,2020-05-26 3:34PM EDT,345.0,27.5,26.2,27.5,0.0,-,63,62,61.77%
62,AAPL200529P00355000,2020-05-26 3:34PM EDT,355.0,37.5,36.3,37.5,0.0,-,36,31,77.78%
63,AAPL200529P00360000,2020-05-20 2:57PM EDT,360.0,40.96,41.25,42.5,0.0,-,4,5,85.35%
64,AAPL200529P00370000,2020-05-22 3:22PM EDT,370.0,52.36,51.25,52.5,0.0,-,1,121,99.80%
65,AAPL200529P00375000,2020-05-21 3:59PM EDT,375.0,57.65,56.25,57.5,0.0,-,-,0,106.74%
66,AAPL200529P00390000,2020-05-26 3:58PM EDT,390.0,73.05,71.25,72.5,0.0,-,7,8,126.47%
